Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.20.1-224.0.0.251-5353-5353-17,192.168.20.1,5353,224.0.0.251,5353,17,5/2/2020 12:49,2306,3,1,190.0,38.0,76,38,63.33333333,21.93931023,38,38,38.0,0.0,98872.5065,1734.605377,768.6666667000002,1165.264491,2114.0,76.0,2190.0,1095.0,1441.08362,2114.0,76.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,24,8,1300.954033,433.6513443,38,76,53.2,20.81345719,433.2,0,0,0,0,0,0,0,0,0,66.5,63.33333333,38.0,0,0,0,0,0,0,3,190,1,38,-1,-1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
192.168.20.1-224.0.0.251-5353-5353-17,192.168.20.1,5353,224.0.0.251,5353,17,7/2/2020 16:38,997666,3,1,84.0,28.0,28,28,28.0,0.0,28,28,28.0,0.0,112.2620196,4.009357841,332555.3333,572279.9032,993367.0,1656.0,996010.0,498005.0,700547.6587,993367.0,2643.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,24,8,3.0070183810000004,1.00233946,28,28,28.0,0.0,0.0,0,0,0,0,0,0,0,0,0,35.0,28.0,28.0,0,0,0,0,0,0,3,84,1,28,-1,-1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
192.168.20.1-224.0.0.251-5353-5353-17,192.168.20.1,5353,224.0.0.251,5353,17,5/2/2020 13:25,994598,7,1,266.0,38.0,38,38,38.0,0.0,38,38,38.0,0.0,305.65112739999995,8.043450721000001,142085.4286,375160.6844,992869.0,20.0,994510.0,165751.6667,405203.5094,992869.0,20.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,56,8,7.038019381,1.00543134,38,38,38.0,0.0,0.0,0,0,0,0,0,0,0,0,0,42.75,38.0,38.0,0,0,0,0,0,0,7,266,1,38,-1,-1,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
192.168.20.1-224.0.0.251-5353-5353-17,192.168.20.1,5353,224.0.0.251,5353,17,5/2/2020 13:38,998262,7,1,266.0,38.0,38,38,38.0,0.0,38,38,38.0,0.0,304.5292719,8.013928207000001,142608.8571,375058.0667,993158.0,61.0,995994.0,165999.0,405224.1779,993158.0,61.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,56,8,7.012187181,1.001741026,38,38,38.0,0.0,0.0,0,0,0,0,0,0,0,0,0,42.75,38.0,38.0,0,0,0,0,0,0,7,266,1,38,-1,-1,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
192.168.20.1-224.0.0.251-5353-5353-17,192.168.20.1,5353,224.0.0.251,5353,17,7/2/2020 15:01,259,3,1,190.0,38.0,76,38,63.33333333,21.93931023,38,38,38.0,0.0,880308.8803,15444.01544,86.33333333,21.93931023,99.0,61.0,160.0,80.0,26.87005769,99.0,61.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,24,8,11583.01158,3861.003861,38,76,53.2,20.81345719,433.2,0,0,0,0,0,0,0,0,0,66.5,63.33333333,38.0,0,0,0,0,0,0,3,190,1,38,-1,-1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
192.168.20.1-224.0.0.251-5353-5353-17,192.168.20.1,5353,224.0.0.251,5353,17,7/2/2020 15:31,7031,3,1,190.0,38.0,76,38,63.33333333,21.93931023,38,38,38.0,0.0,32427.81966,568.9091168,2343.666667,2404.214286,4880.0,98.0,4978.0,2489.0,3381.384628,4880.0,98.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,24,8,426.6818376,142.2272792,38,76,53.2,20.81345719,433.2,0,0,0,0,0,0,0,0,0,66.5,63.33333333,38.0,0,0,0,0,0,0,3,190,1,38,-1,-1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
192.168.20.1-224.0.0.251-5353-5353-17,192.168.20.1,5353,224.0.0.251,5353,17,7/2/2020 19:46,85775161,35,1,1096.0,28.0,76,28,31.31428571,11.40632288,28,28,28.0,0.0,13.1040267,0.419701923,2450718.886,10500000.0,61300000.0,32.0,85800000.0,2522632.147,10600000.0,61300000.0,32.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,280,8,0.408043536,0.011658387,28,76,31.13513514,11.11096096,123.4534535,0,0,0,0,0,0,0,0,0,32.0,31.31428571,28.0,0,0,0,0,0,0,35,1096,1,28,-1,-1,35,0,5446791.0,1160440.01,6267346.0,4626236.0,36900000.0,34400000.0,61300000.0,12600000.0,Normal
192.168.20.1-224.0.0.251-5353-5353-17,192.168.20.1,5353,224.0.0.251,5353,17,5/2/2020 12:46,997159,7,1,266.0,38.0,38,38,38.0,0.0,38,38,38.0,0.0,304.8661247,8.022792754,142451.2857,375012.34,992896.0,14.0,997092.0,166182.0,405007.0038,992896.0,14.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,56,8,7.01994366,1.002849094,38,38,38.0,0.0,0.0,0,0,0,0,0,0,0,0,0,42.75,38.0,38.0,0,0,0,0,0,0,7,266,1,38,-1,-1,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
192.168.20.1-224.0.0.251-5353-5353-17,192.168.20.1,5353,224.0.0.251,5353,17,7/2/2020 14:01,1416,3,1,190.0,38.0,76,38,63.33333333,21.93931023,38,38,38.0,0.0,161016.9492,2824.858757,472.0,668.6979886,1244.0,73.0,172.0,86.0,18.38477631,99.0,73.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,24,8,2118.644068,706.2146892999998,38,76,53.2,20.81345719,433.2,0,0,0,0,0,0,0,0,0,66.5,63.33333333,38.0,0,0,0,0,0,0,3,190,1,38,-1,-1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
192.168.20.1-224.0.0.251-5353-5353-17,192.168.20.1,5353,224.0.0.251,5353,17,7/2/2020 14:46,85781240,35,1,1096.0,28.0,76,28,31.31428571,11.40632288,28,28,28.0,0.0,13.10309807,0.41967218,2450892.571,10500000.0,61300000.0,11.0,85800000.0,2522831.676,10700000.0,61300000.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,280,8,0.40801462,0.011657561,28,76,31.13513514,11.11096096,123.4534535,0,0,0,0,0,0,0,0,0,32.0,31.31428571,28.0,0,0,0,0,0,0,35,1096,1,28,-1,-1,35,0,4665699.0,2262914.234,6265821.0,3065577.0,37700000.0,33300000.0,61300000.0,14200000.0,Normal
